YYYY-MM,UnitID,Starting Cash,Savings In,Gross Revenue,Mgmt Expense,CapEx Operating,HOA,Insurance,Property Tax,Debt Service (Total),Scheduled Principal,Interest Portion,Ops Net,Rainy Top-Up,Capex Top-Up,Rainy Balance,Capex Balance,Liquidity Required,Liquidity Actual,Liquidity Ratio,Freeze Flag,Accessible Principal,Deployable (Cash+Accessible),Feeder Draw (Net),Feeder Prepay,Purchase: Down Payment,Purchase: Closing Costs,Purchase: Initial Rainy Funding,Purchase Out (Total),New Loan Principal,Loan Balance (End),End Cash,Units Owned
Y6-11,TOTAL,0.0,4166.67,26812.5,5362.5,1340.62,4926.91,1281.52,1647.67,10534.33,2415.08,8119.25,1718.94,5885.61,0.0,93956.75,271.85,110614.44,94228.6,0.851865,1,143095.25,143095.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1419935.07,0.0,5
Y6-12,TOTAL,0.0,4166.67,27706.25,5541.25,1385.31,4926.91,1284.68,1651.73,10534.33,2428.87,8105.46,2382.03,6548.7,0.0,100505.45,271.85,110657.79,100777.3,0.910711,1,144248.44,144248.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1417506.2,0.0,5
Y7-01,TOTAL,0.0,4166.67,27706.25,5541.25,1385.31,5074.72,1287.85,1655.8,10534.33,2442.74,8091.6,2226.98,6393.65,0.0,106899.1,271.85,111588.08,107170.95,0.960416,1,173359.67,173359.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1415063.47,0.0,5
Y7-02,TOTAL,0.0,4166.67,25025.0,5005.0,1251.25,5074.72,1291.02,1659.89,10534.33,2456.68,8077.65,208.78,4375.45,0.0,111274.55,271.85,111631.64,111546.4,0.999236,1,174942.85,174942.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1412606.79,0.0,5
Y7-03,TOTAL,0.0,4166.67,27706.25,5541.25,1385.31,5074.72,1294.21,1663.98,10534.33,2470.7,8063.63,2212.44,128.91,0.0,111403.46,271.85,111675.31,111675.31,1.0,0,176535.07,182785.26,116013.63,0.0,109164.13,13099.7,0.0,122263.83,327492.4,1737628.49,0.0,6
Y7-04,TOTAL,0.0,4166.67,32175.0,6435.0,1608.75,6089.67,1552.12,1995.58,12680.26,2761.29,9918.96,1813.63,5980.3,0.0,117383.76,271.85,134177.55,117655.61,0.876865,1,180530.73,180530.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1734867.2,0.0,6
Y7-05,TOTAL,0.0,4166.67,33247.5,6649.5,1662.38,6089.67,1555.94,2000.5,12680.26,2777.06,9903.2,2609.26,6775.93,0.0,124159.69,271.85,134230.05,124431.54,0.927002,1,182348.74,182348.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1732090.14,0.0,6
Y7-06,TOTAL,0.0,4166.67,32175.0,6435.0,1608.75,6089.67,1559.78,2005.43,12680.26,2792.91,9887.35,1796.11,5962.78,0.0,130122.47,271.85,134282.67,130394.32,0.971043,1,184177.14,184177.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1729297.23,0.0,6
Y7-07,TOTAL,0.0,4166.67,33247.5,6649.5,1662.38,6089.67,1563.63,2010.38,12680.26,2808.85,9871.41,2591.7,3941.11,0.0,134063.58,271.85,134335.43,134335.43,1.0,0,186015.97,188833.22,120657.19,0.0,110245.04,13229.4,0.0,123474.44,330735.11,2057223.49,0.0,7
Y7-08,TOTAL,0.0,4166.67,38788.75,7757.75,1939.44,7104.61,1824.72,2346.07,14847.43,3104.11,11743.32,2968.73,7135.39,0.0,141198.97,271.85,157008.86,141470.82,0.901037,1,187865.3,187865.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2054119.38,0.0,7
