Year,Month,Unit_ID,Unit_Value,Unit_Debt,Unit_Equity,Unit_LTV,Unit_Monthly_Payment,Unit_Interest_Rate,Is_Feeder,Months_Since_Last_Refi
25,12,5,1612256.33,0.0,1612256.33,0.0,0.0,6.85,False,133
25,12,6,1623194.18,0.0,1623194.18,0.0,0.0,6.85,False,120
26,12,0,1559318.54,0.0,1559318.54,0.0,0.0,5.88,False,147
26,12,1,1579395.32,0.0,1579395.32,0.0,0.0,5.88,False,132
26,12,2,1623877.03,0.0,1623877.03,0.0,0.0,5.88,False,145
26,12,3,1651304.06,0.0,1651304.06,0.0,0.0,6.85,False,174
26,12,4,1669611.51,0.0,1669611.51,0.0,0.0,6.85,False,147
26,12,5,1661294.65,0.0,1661294.65,0.0,0.0,6.85,False,145
26,12,6,1672565.18,0.0,1672565.18,0.0,0.0,6.85,False,132
27,12,0,1606746.71,0.0,1606746.71,0.0,0.0,5.88,False,159
27,12,1,1627434.14,0.0,1627434.14,0.0,0.0,5.88,False,144
27,12,2,1673268.81,0.0,1673268.81,0.0,0.0,5.88,False,157
27,12,3,1701530.05,0.0,1701530.05,0.0,0.0,6.85,False,186
27,12,4,1720394.34,0.0,1720394.34,0.0,0.0,6.85,False,159
27,12,5,1711824.52,0.0,1711824.52,0.0,0.0,6.85,False,157
27,12,6,1723437.85,0.0,1723437.85,0.0,0.0,6.85,False,144
28,12,0,1655617.45,0.0,1655617.45,0.0,0.0,5.88,False,171
28,12,1,1676934.11,0.0,1676934.11,0.0,0.0,5.88,False,156
28,12,2,1724162.88,0.0,1724162.88,0.0,0.0,5.88,False,169
28,12,3,1753283.72,0.0,1753283.72,0.0,0.0,6.85,False,198
28,12,4,1772721.78,0.0,1772721.78,0.0,0.0,6.85,False,171
28,12,5,1763891.3,0.0,1763891.3,0.0,0.0,6.85,False,169
28,12,6,1775857.86,0.0,1775857.86,0.0,0.0,6.85,False,156
29,12,0,1705974.64,0.0,1705974.64,0.0,0.0,5.88,False,183
29,12,1,1727939.67,0.0,1727939.67,0.0,0.0,5.88,False,168
29,12,2,1776604.94,0.0,1776604.94,0.0,0.0,5.88,False,181
29,12,3,1806611.52,0.0,1806611.52,0.0,0.0,6.85,False,210
29,12,4,1826640.81,0.0,1826640.81,0.0,0.0,6.85,False,183
29,12,5,1817541.74,0.0,1817541.74,0.0,0.0,6.85,False,181
29,12,6,1829872.28,0.0,1829872.28,0.0,0.0,6.85,False,168
30,12,0,1757863.49,0.0,1757863.49,0.0,0.0,5.88,False,195
30,12,1,1780496.6,0.0,1780496.6,0.0,0.0,5.88,False,180
30,12,2,1830642.08,0.0,1830642.08,0.0,0.0,5.88,False,193
30,12,3,1861561.34,0.0,1861561.34,0.0,0.0,6.85,False,222
30,12,4,1882199.83,0.0,1882199.83,0.0,0.0,6.85,False,195
30,12,5,1872824.01,0.0,1872824.01,0.0,0.0,6.85,False,193
30,12,6,1885529.59,0.0,1885529.59,0.0,0.0,6.85,False,180
