YYYY-MM,UnitID,Starting Cash,Savings In,Gross Revenue,Mgmt Expense,CapEx Operating,HOA,Insurance,Property Tax,Debt Service (Total),Scheduled Principal,Interest Portion,Ops Net,HY Interest (Cash),HY Interest (Rainy),HY Interest (Capex),Rainy Top-Up,Capex Top-Up,Rainy Balance,Capex Balance,Liquidity Required,Liquidity Actual,Liquidity Ratio,Freeze Flag,Accessible Principal,Deployable (Cash+Accessible),Feeder Draw (Net),Feeder Prepay,Purchase: Down Payment,Purchase: Closing Costs,Purchase: Initial Rainy Funding,Purchase Out (Total),New Loan Principal,Loan Balance (End),End Cash,Units Owned
Y13-10,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,8483.28,3335.31,3752.22,20544.6,7732.37,12812.23,910.22,0.0,828.97,1.95,0.0,0.0,244838.84,575.64,217038.45,245414.47,1.130742,0,1042661.11,1047738.0,0.0,5076.88,0.0,0.0,0.0,0.0,0.0,2231668.58,0.0,7
Y13-11,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,8483.28,3343.54,3761.48,20544.6,7805.49,12739.11,-301.64,0.0,804.95,1.89,0.0,0.0,245643.79,577.53,217143.32,246221.32,1.133912,0,1052033.04,1055898.06,0.0,3865.03,0.0,0.0,0.0,0.0,0.0,2219998.06,0.0,7
Y13-12,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,8483.28,3351.78,3770.76,20544.6,7872.11,12672.49,875.21,0.0,834.52,1.96,0.0,0.0,246478.3,579.49,217248.46,247057.79,1.137213,0,1060571.8,1065613.68,0.0,5041.88,0.0,0.0,0.0,0.0,0.0,2207084.08,0.0,7
Y14-01,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,8737.78,3360.05,3780.06,20544.6,7945.82,12598.77,603.15,0.0,837.35,1.97,0.0,0.0,247315.65,581.46,218880.85,247897.11,1.132566,0,1150117.16,1154886.98,0.0,4769.82,0.0,0.0,0.0,0.0,0.0,2194368.44,0.0,7
Y14-02,TOTAL,0.0,4166.67,44590.0,8918.0,2229.5,8737.78,3368.34,3789.38,20544.6,8018.41,12526.19,-2997.59,0.0,758.89,1.78,0.0,0.0,248074.54,583.24,218986.51,248657.78,1.135494,0,1159420.59,1160589.68,0.0,1169.08,0.0,0.0,0.0,0.0,0.0,2185180.95,0.0,7
Y14-03,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,8737.78,3376.64,3798.72,20544.6,8070.86,12473.74,567.89,0.0,842.77,1.98,0.0,0.0,248917.31,585.23,219092.42,249502.54,1.1388,0,1166142.65,1170877.2,0.0,4734.55,0.0,0.0,0.0,0.0,0.0,2172375.54,0.0,7
Y14-04,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,8737.78,3384.97,3808.09,20544.6,8143.95,12400.64,-644.19,0.0,818.36,1.92,0.0,0.0,249735.67,587.15,219198.6,250322.82,1.141991,0,1175511.76,1179034.24,0.0,3522.48,0.0,0.0,0.0,0.0,0.0,2160709.1,0.0,7
Y14-05,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,8737.78,3393.32,3817.48,20544.6,8210.55,12334.05,532.45,0.0,848.42,1.99,0.0,0.0,250584.09,589.14,219305.04,251173.23,1.145314,0,1184047.54,1188746.66,0.0,4699.12,0.0,0.0,0.0,0.0,0.0,2147799.44,0.0,7
Y14-06,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,8737.78,3401.69,3826.9,20544.6,8284.24,12260.36,-679.71,0.0,823.84,1.94,0.0,0.0,251407.93,591.08,219411.74,251999.01,1.148521,0,1193492.93,1196979.89,0.0,3486.96,0.0,0.0,0.0,0.0,0.0,2136028.24,0.0,7
Y14-07,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,8737.78,3410.08,3836.34,20544.6,8351.44,12193.16,496.84,0.0,854.1,2.01,0.0,0.0,252262.02,593.09,219518.71,252855.11,1.151861,0,1202105.36,1206768.87,0.0,4663.51,0.0,0.0,0.0,0.0,0.0,2123013.3,0.0,7
Y14-08,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,8737.78,3418.49,3845.8,20544.6,8425.73,12118.87,478.97,0.0,857.0,2.01,0.0,0.0,253119.02,595.1,219625.94,253714.13,1.15521,0,1211627.78,1216273.42,0.0,4645.63,0.0,0.0,0.0,0.0,0.0,2109941.94,0.0,7
Y14-09,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,8737.78,3426.92,3855.28,20544.6,8500.34,12044.25,-733.32,0.0,832.17,1.96,0.0,0.0,253951.2,597.06,219733.43,254548.26,1.158441,0,1221191.48,1224624.82,0.0,3433.34,0.0,0.0,0.0,0.0,0.0,2098008.25,0.0,7
Y14-10,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,8737.78,3435.37,3864.79,20544.6,8568.47,11976.13,443.09,0.0,862.74,2.03,0.0,0.0,254813.93,599.09,219841.19,255413.02,1.161807,0,1229922.8,1234532.55,0.0,4609.76,0.0,0.0,0.0,0.0,0.0,2084830.03,0.0,7
Y14-11,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,8737.78,3443.84,3874.32,20544.6,8643.69,11900.9,-769.29,0.0,837.74,1.97,0.0,0.0,255651.68,601.06,219949.22,256252.74,1.165054,0,1239564.68,1242962.06,0.0,3397.38,0.0,0.0,0.0,0.0,0.0,2072788.96,0.0,7
Y14-12,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,8737.78,3452.34,3883.88,20544.6,8712.43,11832.17,407.04,0.0,868.52,2.04,0.0,0.0,256520.19,603.1,220057.51,257123.3,1.168437,0,1248374.56,1252948.27,0.0,4573.71,0.0,0.0,0.0,0.0,0.0,2059502.83,0.0,7
Y15-01,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,8999.91,3460.85,3893.46,20544.6,8788.27,11756.33,126.81,0.0,871.47,2.05,0.0,0.0,257391.66,605.15,221738.87,257996.81,1.163516,0,1340595.11,1344888.59,0.0,4293.48,0.0,0.0,0.0,0.0,0.0,2046421.08,0.0,7
Y15-02,TOTAL,0.0,4166.67,44590.0,8918.0,2229.5,8999.91,3469.39,3903.06,20544.6,8862.94,11681.65,-3474.45,0.0,789.8,1.86,0.0,0.0,258181.46,607.01,221847.69,258788.47,1.166514,0,1350166.4,1350858.62,0.0,692.22,0.0,0.0,0.0,0.0,0.0,2036865.92,0.0,7
Y15-03,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,8999.91,3477.94,3912.69,20544.6,8917.49,11627.11,90.49,0.0,877.11,2.06,0.0,0.0,259058.57,609.07,221956.79,259667.64,1.169902,0,1357157.46,1361414.62,0.0,4257.16,0.0,0.0,0.0,0.0,0.0,2023691.27,0.0,7
Y15-04,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,8999.91,3486.52,3922.34,20544.6,6700.28,11551.9,-1122.11,0.0,851.7,2.0,0.0,0.0,259910.27,611.07,222066.15,260521.35,1.17317,0,1365129.0,1368173.55,0.0,3044.56,0.0,0.0,0.0,0.0,0.0,2013946.44,0.0,7
Y15-05,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,8999.91,3495.12,3932.01,17718.22,6221.94,11496.28,2880.37,0.0,882.98,2.08,0.0,0.0,260793.26,613.15,205217.5,261406.4,1.273802,0,1371870.37,1378917.41,0.0,7047.04,0.0,0.0,0.0,0.0,0.0,2000677.46,0.0,7
Y15-06,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,8999.91,3503.74,3941.71,17718.22,6297.68,11420.53,1667.68,0.0,857.4,2.02,0.0,0.0,261650.66,615.16,205327.4,262265.82,1.277306,0,1381578.66,1387413.01,0.0,5834.35,0.0,0.0,0.0,0.0,0.0,1988545.43,0.0,7
Y15-07,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,8999.91,3512.38,3951.43,17718.22,6366.94,11351.28,2843.69,0.0,888.9,2.09,0.0,0.0,262539.55,617.25,205437.58,263156.81,1.280958,0,1390455.09,1397465.45,0.0,7010.36,0.0,0.0,0.0,0.0,0.0,1975168.14,0.0,7
Y15-08,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,8999.91,3521.04,3961.17,17718.22,6443.3,11274.92,2825.29,0.0,891.92,2.1,0.0,0.0,263431.47,619.35,205548.02,264050.82,1.284619,0,1400242.63,1407234.58,0.0,6991.95,0.0,0.0,0.0,0.0,0.0,1961732.89,0.0,7
Y15-09,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,8999.91,3529.73,3970.94,17718.22,6519.99,11198.23,1612.46,0.0,866.08,2.04,0.0,0.0,264297.55,621.39,205658.74,264918.93,1.288148,0,1410072.57,1415851.69,0.0,5779.12,0.0,0.0,0.0,0.0,0.0,1949433.77,0.0,7
Y15-10,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,8999.91,3538.43,3980.74,17718.22,6590.2,11128.02,2788.33,0.0,897.89,2.11,0.0,0.0,265195.43,623.5,205769.74,265818.93,1.291827,0,1419071.25,1426026.25,0.0,6955.0,0.0,0.0,0.0,0.0,0.0,1935888.57,0.0,7
Y15-11,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,8999.91,3547.16,3990.55,17718.22,6667.52,11050.7,1575.41,0.0,871.88,2.05,0.0,0.0,266067.31,625.55,205881.0,266692.86,1.295374,0,1428981.63,1434723.71,0.0,5742.08,0.0,0.0,0.0,0.0,0.0,1923478.97,0.0,7
Y15-12,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,8999.91,3555.91,4000.39,17718.22,6738.36,10979.86,2751.2,0.0,903.9,2.13,0.0,0.0,266971.21,627.67,205992.54,267598.88,1.299071,0,1438061.15,1444979.01,0.0,6917.87,0.0,0.0,0.0,0.0,0.0,1909822.75,0.0,7
Y16-01,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,9269.91,3564.68,4010.26,17718.22,6816.31,10901.9,2462.57,0.0,906.97,2.13,0.0,0.0,267878.18,629.8,207724.34,268507.98,1.292617,0,1533027.46,1539656.69,0.0,6629.23,0.0,0.0,0.0,0.0,0.0,1896377.21,0.0,7
Y16-02,TOTAL,0.0,4166.67,44590.0,8918.0,2229.5,9269.91,3573.47,4020.15,17718.22,6893.06,10825.15,-1139.24,0.0,821.98,1.93,0.0,0.0,268700.16,631.74,207836.43,269331.9,1.295884,0,1542864.93,1545892.36,0.0,3027.43,0.0,0.0,0.0,0.0,0.0,1886456.72,0.0,7
Y16-03,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,9269.91,3582.28,4030.07,17718.22,6949.69,10768.52,2425.16,0.0,912.84,2.15,0.0,0.0,269613.01,633.88,207948.8,270246.89,1.299584,0,1550123.28,1556715.11,0.0,6591.82,0.0,0.0,0.0,0.0,0.0,1872915.2,0.0,7
Y16-04,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,9269.91,3591.12,4040.01,17718.22,7026.99,10691.22,1212.01,0.0,886.4,2.08,0.0,0.0,270499.4,635.97,208061.44,271135.37,1.30315,0,1560030.97,1565409.65,0.0,5378.67,0.0,0.0,0.0,0.0,0.0,1860509.54,0.0,7
Y16-05,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,9269.91,3599.97,4049.97,17718.22,7097.81,10620.41,2387.56,0.0,918.96,2.16,0.0,0.0,271418.36,638.13,208174.37,272056.49,1.306868,0,1569107.61,1575661.84,0.0,6554.23,0.0,0.0,0.0,0.0,0.0,1846857.5,0.0,7
Y16-06,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,9269.91,3608.85,4059.96,17718.22,7175.74,10542.48,1174.32,0.0,892.33,2.1,0.0,0.0,272310.7,640.23,208287.57,272950.92,1.310452,0,1579096.16,1584437.15,0.0,5340.99,0.0,0.0,0.0,0.0,0.0,1834340.78,0.0,7
Y16-07,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,9269.91,3617.75,4069.97,17718.22,7247.19,10471.03,2349.78,0.0,925.11,2.18,0.0,0.0,273235.81,642.4,208401.05,273878.21,1.314188,0,1588254.06,1594770.51,0.0,6516.45,0.0,0.0,0.0,0.0,0.0,1820577.14,0.0,7
Y16-08,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,9269.91,3626.67,4080.01,17718.22,7325.75,10392.46,2330.82,0.0,928.25,2.18,0.0,0.0,274164.06,644.58,208514.81,274808.64,1.317933,0,1598324.26,1604821.75,0.0,6497.49,0.0,0.0,0.0,0.0,0.0,1806753.9,0.0,7
Y16-09,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,9269.91,3635.62,4090.07,17718.22,7404.66,10313.55,1117.44,0.0,901.36,2.12,0.0,0.0,275065.42,646.7,208628.85,275712.12,1.321544,0,1608438.08,1613722.18,0.0,5284.11,0.0,0.0,0.0,0.0,0.0,1794065.13,0.0,7
Y16-10,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,9269.91,3644.58,4100.16,17718.22,7477.09,10241.12,2292.76,0.0,934.47,2.2,0.0,0.0,275999.89,648.9,208743.17,276648.79,1.325307,0,1617721.85,1624181.28,0.0,6459.43,0.0,0.0,0.0,0.0,0.0,1780128.61,0.0,7
Y16-11,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,9269.91,3653.57,4110.27,17718.22,7556.65,10161.57,1079.29,0.0,907.4,2.13,0.0,0.0,276907.29,651.03,208857.77,277558.32,1.328935,0,1627918.55,1633164.5,0.0,5245.95,0.0,0.0,0.0,0.0,0.0,1767326.01,0.0,7
Y16-12,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,9269.91,3662.58,4120.41,17718.22,7629.73,10088.49,2254.51,0.0,940.73,2.21,0.0,0.0,277848.01,653.24,208972.66,278501.26,1.332716,0,1637285.6,1643706.78,0.0,6421.18,0.0,0.0,0.0,0.0,0.0,1753275.1,0.0,7
Y17-01,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,9548.0,3671.62,4130.57,17718.22,7709.94,10008.28,1957.22,0.0,943.92,2.22,0.0,0.0,278791.93,655.46,210756.41,279447.4,1.325926,0,1735089.93,1741213.82,0.0,6123.89,0.0,0.0,0.0,0.0,0.0,1739441.27,0.0,7
Y17-02,TOTAL,0.0,4166.67,44590.0,8918.0,2229.5,9548.0,3680.67,4140.76,17718.22,7788.9,9929.31,-1645.15,0.0,855.47,2.01,0.0,0.0,279647.41,657.48,210871.87,280304.88,1.329266,0,1745211.49,1747733.01,0.0,2521.52,0.0,0.0,0.0,0.0,0.0,1729130.85,0.0,7
Y17-03,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,9548.0,3689.75,4150.97,17718.22,7847.76,9870.46,1918.69,0.0,950.04,2.23,0.0,0.0,280597.44,659.71,210987.6,281257.15,1.333051,0,1752755.14,1758840.5,0.0,6085.36,0.0,0.0,0.0,0.0,0.0,1715197.73,0.0,7
Y17-04,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,9548.0,3698.85,4161.21,17718.22,7927.3,9790.92,704.98,0.0,922.51,2.17,0.0,0.0,281519.95,661.88,211103.63,282181.83,1.336698,0,1762949.34,1767820.99,0.0,4871.64,0.0,0.0,0.0,0.0,0.0,1702398.79,0.0,7
Y17-05,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,9548.0,3707.97,4171.47,17718.22,8000.36,9717.86,1879.97,0.0,956.4,2.25,0.0,0.0,282476.35,664.13,211219.94,283140.48,1.340501,0,1772313.72,1778360.36,0.0,6046.63,0.0,0.0,0.0,0.0,0.0,1688351.8,0.0,7
Y17-06,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,9548.0,3717.12,4181.76,17718.22,8080.54,9637.67,666.16,0.0,928.69,2.18,0.0,0.0,283405.04,666.31,211336.54,284071.35,1.344166,0,1782591.24,1787424.07,0.0,4832.83,0.0,0.0,0.0,0.0,0.0,1675438.44,0.0,7
Y17-07,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,9548.0,3726.28,4192.07,17718.22,8154.25,9563.96,1841.05,0.0,962.8,2.26,0.0,0.0,284367.84,668.57,211453.42,285036.41,1.347987,0,1792039.34,1798047.06,0.0,6007.72,0.0,0.0,0.0,0.0,0.0,1661276.46,0.0,7
Y17-08,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,9548.0,3735.47,4202.41,17718.22,8235.1,9483.12,1821.52,0.0,966.07,2.27,0.0,0.0,285333.91,670.84,211570.59,286004.76,1.351817,0,1802400.99,1808389.18,0.0,5988.19,0.0,0.0,0.0,0.0,0.0,1647053.17,0.0,7
Y17-09,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,9548.0,3744.69,4212.77,17718.22,8316.29,9401.93,607.57,0.0,938.08,2.21,0.0,0.0,286271.99,673.05,211688.05,286945.05,1.355509,0,1812807.5,1817581.74,0.0,4774.24,0.0,0.0,0.0,0.0,0.0,1633962.65,0.0,7
Y17-10,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,9548.0,3753.92,4223.16,17718.22,8391.01,9327.2,1782.32,0.0,972.54,2.29,0.0,0.0,287244.54,675.34,211805.81,287919.87,1.359358,0,1822385.22,1828334.21,0.0,5948.99,0.0,0.0,0.0,0.0,0.0,1619622.65,0.0,7
Y17-11,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,9548.0,3763.18,4233.58,17718.22,8472.87,9245.35,568.27,0.0,944.37,2.22,0.0,0.0,288188.9,677.56,211923.85,288866.46,1.363067,0,1832877.12,1837612.06,0.0,4734.94,0.0,0.0,0.0,0.0,0.0,1606414.84,0.0,7
Y17-12,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,9548.0,3772.46,4244.02,17718.22,8548.26,9169.95,1742.93,0.0,979.05,2.3,0.0,0.0,289167.95,679.86,212042.18,289847.81,1.366935,0,1842540.65,1848450.25,0.0,5909.59,0.0,0.0,0.0,0.0,0.0,1591956.98,0.0,7
Y18-01,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,9834.44,3781.76,4254.49,17718.22,8630.79,9087.42,1436.72,0.0,982.38,2.31,0.0,0.0,290150.33,682.17,213879.45,290832.5,1.359796,0,1943268.44,1948871.82,0.0,5603.38,0.0,0.0,0.0,0.0,0.0,1577722.8,0.0,7
Y18-02,TOTAL,0.0,4166.67,44590.0,8918.0,2229.5,9834.44,3791.09,4264.98,17718.22,8712.05,9006.17,-2166.23,0.0,890.32,2.09,0.0,0.0,291040.66,684.26,213998.36,291724.92,1.363211,0,1953682.92,1955683.36,0.0,2000.44,0.0,0.0,0.0,0.0,0.0,1567010.32,0.0,7
Y18-03,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,9834.44,3800.44,4275.5,17718.22,8773.2,8945.02,1397.03,0.0,988.74,2.32,0.0,0.0,292029.4,686.59,214117.57,292715.98,1.367081,0,1961520.74,1967084.43,0.0,5563.69,0.0,0.0,0.0,0.0,0.0,1552673.43,0.0,7
Y18-04,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,9834.44,3809.81,4286.04,17718.22,8855.04,8863.18,182.74,0.0,960.1,2.26,0.0,0.0,292989.49,688.84,214237.08,293678.34,1.37081,0,1972010.37,1976359.77,0.0,4349.4,0.0,0.0,0.0,0.0,0.0,1539468.99,0.0,7
Y18-05,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,9834.44,3819.21,4296.61,17718.22,8930.41,8787.8,1357.14,0.0,995.36,2.34,0.0,0.0,293984.86,691.18,214356.88,294676.04,1.374698,0,1981671.43,1987195.24,0.0,5523.81,0.0,0.0,0.0,0.0,0.0,1525014.76,0.0,7
Y18-06,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,9834.44,3828.63,4307.21,17718.22,9012.92,8705.29,142.75,0.0,966.53,2.27,0.0,0.0,294951.38,693.46,214476.97,295644.84,1.378446,0,1992246.9,1996556.32,0.0,4309.42,0.0,0.0,0.0,0.0,0.0,1511692.42,0.0,7
Y18-07,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,9834.44,3838.07,4317.83,17718.22,9088.97,8629.24,1317.06,0.0,1002.03,2.36,0.0,0.0,295953.41,695.81,214597.36,296649.22,1.382353,0,2001994.23,2007477.96,0.0,5483.73,0.0,0.0,0.0,0.0,0.0,1497119.72,0.0,7
Y18-08,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,9834.44,3847.54,4328.48,17718.22,9172.16,8546.06,1296.95,0.0,1005.43,2.36,0.0,0.0,296958.84,698.18,214718.05,297657.01,1.386269,0,2012656.39,2018120.01,0.0,5463.61,0.0,0.0,0.0,0.0,0.0,1482483.95,0.0,7
Y18-09,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,9834.44,3857.03,4339.16,17718.22,9255.7,8462.51,82.41,0.0,976.3,2.3,0.0,0.0,297935.14,700.47,214839.04,298635.61,1.390044,0,2023364.69,2027613.77,0.0,4249.08,0.0,0.0,0.0,0.0,0.0,1468979.17,0.0,7
Y18-10,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,9834.44,3866.54,4349.86,17718.22,9332.79,8385.42,1256.57,0.0,1012.16,2.38,0.0,0.0,298947.31,702.85,214960.32,299650.16,1.393979,0,2033245.5,2038668.74,0.0,5423.24,0.0,0.0,0.0,0.0,0.0,1454223.14,0.0,7
Y18-11,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,9834.44,3876.08,4360.58,17718.22,9417.03,8301.19,41.93,0.0,982.84,2.31,0.0,0.0,299930.15,705.16,215081.9,300635.31,1.397771,0,2044041.79,2048250.39,0.0,4208.6,0.0,0.0,0.0,0.0,0.0,1440597.52,0.0,7
Y18-12,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,9834.44,3885.63,4371.34,17718.22,9494.8,8223.41,1215.99,0.0,1018.94,2.4,0.0,0.0,300949.09,707.56,215203.79,301656.64,1.401726,0,2054011.02,2059393.68,0.0,5382.66,0.0,0.0,0.0,0.0,0.0,1425720.05,0.0,7
Y19-01,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,10129.48,3895.22,4382.12,17718.22,9579.73,8138.49,900.59,0.0,1022.4,2.4,0.0,0.0,301971.49,709.96,217096.17,302681.45,1.394227,0,2157750.3,2162817.57,0.0,5067.26,0.0,0.0,0.0,0.0,0.0,1411073.06,0.0,7
Y19-02,TOTAL,0.0,4166.67,44590.0,8918.0,2229.5,10129.48,3904.82,4392.93,17718.22,9663.34,8054.88,-2702.94,0.0,926.6,2.18,0.0,0.0,302898.09,712.14,217218.66,303610.23,1.397717,0,2168466.82,2169930.54,0.0,1463.72,0.0,0.0,0.0,0.0,0.0,1399946.0,0.0,7
Y19-03,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,10129.48,3914.45,4403.76,17718.22,9726.86,7991.36,859.72,0.0,1029.02,2.42,0.0,0.0,303927.11,714.56,217341.44,304641.67,1.401673,0,2176607.96,2181634.35,0.0,5026.38,0.0,0.0,0.0,0.0,0.0,1385192.76,0.0,7
Y19-04,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,10129.48,3924.11,4414.62,17718.22,9811.07,7907.14,-355.17,0.0,999.21,2.35,0.0,0.0,304926.32,716.91,217464.53,305643.23,1.405485,0,2187402.21,2191213.71,0.0,3811.49,0.0,0.0,0.0,0.0,0.0,1371570.19,0.0,7
Y19-05,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,10129.48,3933.79,4425.51,17718.22,9888.84,7829.38,818.64,0.0,1035.91,2.44,0.0,0.0,305962.24,719.34,217587.93,306681.58,1.40946,0,2197369.2,2202354.5,0.0,4985.3,0.0,0.0,0.0,0.0,0.0,1356696.06,0.0,7
Y19-06,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,10129.48,3943.49,4436.42,17718.22,9973.74,7744.47,-396.36,0.0,1005.9,2.36,0.0,0.0,306968.14,721.71,217711.62,307689.85,1.413291,0,2208251.91,2212022.22,0.0,3770.31,0.0,0.0,0.0,0.0,0.0,1342952.0,0.0,7
Y19-07,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,10129.48,3953.21,4447.37,17718.22,10052.2,7666.02,777.35,0.0,1042.85,2.45,0.0,0.0,308010.99,724.16,217835.63,308735.15,1.417285,0,2218307.78,2223251.8,0.0,4944.02,0.0,0.0,0.0,0.0,0.0,1327955.79,0.0,7
Y19-08,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,10129.48,3962.96,4458.33,17718.22,10137.8,7580.41,756.63,0.0,1046.39,2.46,0.0,0.0,309057.38,726.62,217959.93,309784.0,1.421289,0,2229279.81,2234203.11,0.0,4923.3,0.0,0.0,0.0,0.0,0.0,1312894.68,0.0,7
Y19-09,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,10129.48,3972.74,4469.33,17718.22,10223.77,7494.44,-458.51,0.0,1016.08,2.39,0.0,0.0,310073.46,729.01,218084.55,310802.47,1.425147,0,2240299.3,2244007.46,0.0,3708.16,0.0,0.0,0.0,0.0,0.0,1298962.75,0.0,7
Y19-10,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,10129.48,3982.54,4480.35,17718.22,10303.3,7414.91,715.04,0.0,1053.4,2.48,0.0,0.0,311126.86,731.49,218209.47,311858.35,1.42917,0,2250492.64,2255374.35,0.0,4881.71,0.0,0.0,0.0,0.0,0.0,1283777.74,0.0,7
Y19-11,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,10129.48,3992.36,4491.4,17718.22,10389.98,7328.23,-500.2,0.0,1022.88,2.4,0.0,0.0,312149.75,733.89,218334.7,312883.64,1.433046,0,2261602.8,2265269.26,0.0,3666.46,0.0,0.0,0.0,0.0,0.0,1269721.29,0.0,7
Y19-12,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,10129.48,4002.2,4502.48,17718.22,10470.22,7247.99,673.25,0.0,1060.45,2.49,0.0,0.0,313210.2,736.38,218460.24,313946.58,1.437088,0,2271887.24,2276727.15,0.0,4839.92,0.0,0.0,0.0,0.0,0.0,1254411.15,0.0,7
Y20-01,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,10433.36,4012.07,4513.58,17718.22,10557.62,7160.6,348.39,0.0,1064.06,2.5,0.0,0.0,314274.26,738.89,220409.4,315013.14,1.429218,0,2378728.72,2383243.77,0.0,4515.06,0.0,0.0,0.0,0.0,0.0,1239338.48,0.0,7
Y20-02,TOTAL,0.0,4166.67,44590.0,8918.0,2229.5,10433.36,4021.97,4524.72,17718.22,10643.66,7074.56,-3255.76,0.0,964.35,2.27,0.0,0.0,315238.6,741.15,220535.56,315979.76,1.432784,0,2389756.68,2390667.59,0.0,910.91,0.0,0.0,0.0,0.0,0.0,1227783.91,0.0,7
Y20-03,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,10433.36,4031.89,4535.87,17718.22,10709.62,7008.6,306.29,0.0,1070.95,2.52,0.0,0.0,316309.55,743.67,220662.03,317053.22,1.436827,0,2398210.61,2402683.56,0.0,4472.95,0.0,0.0,0.0,0.0,0.0,1212601.34,0.0,7
Y20-04,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,10433.36,4041.83,4547.06,17718.22,10796.28,6921.93,-909.22,0.0,1039.92,2.44,0.0,0.0,317349.47,746.12,220788.81,318095.59,1.440723,0,2409318.98,2412576.43,0.0,3257.45,0.0,0.0,0.0,0.0,0.0,1198547.61,0.0,7
Y20-05,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,10433.36,4051.8,4558.28,17718.22,10876.51,6841.71,263.97,0.0,1078.12,2.53,0.0,0.0,318427.59,748.65,220915.9,319176.24,1.444786,0,2419601.43,2424032.07,0.0,4430.64,0.0,0.0,0.0,0.0,0.0,1183240.47,0.0,7
