YYYY-MM,UnitID,Starting Cash,Savings In,Gross Revenue,Mgmt Expense,CapEx Operating,HOA,Insurance,Property Tax,Debt Service (Total),Scheduled Principal,Interest Portion,Ops Net,HY Interest (Cash),HY Interest (Rainy),HY Interest (Capex),Rainy Top-Up,Capex Top-Up,Rainy Balance,Capex Balance,Liquidity Required,Liquidity Actual,Liquidity Ratio,Freeze Flag,Accessible Principal,Deployable (Cash+Accessible),Feeder Draw (Net),Feeder Prepay,Purchase: Down Payment,Purchase: Closing Costs,Purchase: Initial Rainy Funding,Purchase Out (Total),New Loan Principal,Loan Balance (End),End Cash,Units Owned
Y3-11,TOTAL,0.0,4166.67,6825.0,1365.0,341.25,901.76,364.8,410.4,2826.38,410.63,2415.75,615.4,0.0,88.8,1.27,0.0,0.0,27097.43,387.39,27366.07,27484.82,1.004339,0,0.0,4782.07,0.0,4782.07,137137.42,16456.49,0.0,0.0,0.0,418004.89,0.0,1
Y3-12,TOTAL,0.0,4166.67,7052.5,1410.5,352.62,901.76,365.7,411.41,2826.38,440.27,2386.11,784.12,0.0,92.06,1.32,0.0,0.0,27189.49,388.7,27377.54,27578.19,1.007329,0,0.0,4950.78,0.0,4950.78,137475.64,16497.08,0.0,0.0,0.0,412613.83,0.0,1
Y4-01,TOTAL,0.0,4166.67,7052.5,1410.5,352.62,928.82,366.6,412.43,2826.38,471.04,2355.34,755.15,0.0,92.37,1.32,0.0,0.0,27281.86,390.02,27551.35,27671.88,1.004375,0,206.7,5128.51,0.0,4921.81,136945.23,16433.43,0.0,0.0,0.0,407220.98,0.0,1
Y4-02,TOTAL,0.0,4166.67,6370.0,1274.0,318.5,928.82,367.51,413.44,2826.38,501.83,2324.55,241.35,0.0,83.71,1.2,0.0,0.0,27365.57,391.22,27562.88,27756.79,1.007035,0,4152.4,8560.42,0.0,4408.02,137282.98,16473.96,0.0,0.0,0.0,402311.13,0.0,1
Y4-03,TOTAL,0.0,4166.67,7052.5,1410.5,352.62,928.82,368.41,414.46,2826.38,529.85,2296.53,751.3,0.0,92.97,1.33,0.0,0.0,27458.54,392.55,27574.44,27851.09,1.010033,0,7744.7,12662.67,0.0,4917.97,137621.55,16514.59,0.0,0.0,0.0,396863.31,0.0,1
Y4-04,TOTAL,0.0,4166.67,6825.0,1365.0,341.25,928.82,369.32,415.49,2826.38,560.95,2265.43,578.74,0.0,90.27,1.29,0.0,0.0,27548.81,393.84,27586.02,27942.65,1.012928,0,11730.61,16476.03,0.0,4745.41,137960.97,16555.32,0.0,0.0,0.0,391556.94,0.0,1
Y4-05,TOTAL,0.0,4166.67,7052.5,1410.5,352.62,928.82,370.23,416.51,2826.38,591.24,2235.14,747.43,0.0,93.59,1.34,0.0,0.0,27642.4,395.18,27597.64,28037.58,1.015941,0,15613.03,20527.13,0.0,4914.1,138301.22,16596.15,0.0,0.0,0.0,386051.6,0.0,1
Y4-06,TOTAL,0.0,4166.67,6825.0,1365.0,341.25,928.82,371.14,417.54,2826.38,622.67,2203.71,574.87,0.0,90.88,1.3,0.0,0.0,27733.28,396.48,27609.28,28129.76,1.018852,0,19641.03,24382.57,0.0,4741.54,138642.3,16637.08,0.0,0.0,0.0,380687.4,0.0,1
Y4-07,TOTAL,0.0,4166.67,7052.5,1410.5,352.62,928.82,372.06,418.57,2826.38,653.29,2173.09,743.55,0.0,94.22,1.35,0.0,0.0,27827.5,397.82,27620.95,28225.33,1.021881,0,23565.77,28475.98,0.0,4910.22,138984.23,16678.11,0.0,0.0,0.0,375123.89,0.0,1
Y4-08,TOTAL,0.0,4166.67,7052.5,1410.5,352.62,928.82,372.98,419.6,2826.38,685.05,2141.33,741.6,0.0,94.54,1.35,0.0,0.0,27922.04,399.18,27632.65,28321.21,1.024919,0,27636.32,32544.59,0.0,4908.27,139327.01,16719.24,0.0,0.0,0.0,369530.58,0.0,1
Y4-09,TOTAL,0.0,4166.67,6825.0,1365.0,341.25,928.82,373.9,420.63,2826.38,716.98,2109.4,569.02,0.0,91.8,1.31,0.0,0.0,28013.84,400.49,27644.38,28414.32,1.027852,0,31728.68,36464.37,0.0,4735.69,139670.62,16760.47,0.0,0.0,0.0,364077.91,0.0,1
Y4-10,TOTAL,0.0,4166.67,7052.5,1410.5,352.62,928.82,374.82,421.67,2826.38,748.1,2078.28,737.68,0.0,95.17,1.36,0.0,0.0,28109.01,401.85,27656.13,28510.86,1.030905,0,35718.14,40622.49,0.0,4904.35,140015.09,16801.81,0.0,0.0,0.0,358425.46,0.0,1
Y4-11,TOTAL,0.0,4166.67,6825.0,1365.0,341.25,928.82,375.74,422.71,2826.38,780.37,2046.01,565.09,0.0,92.41,1.32,0.0,0.0,28201.42,403.17,27667.92,28604.59,1.033854,0,39853.77,44585.54,0.0,4731.76,140360.4,16843.25,0.0,0.0,0.0,352913.33,0.0,1
Y4-12,TOTAL,0.0,4166.67,7052.5,1410.5,352.62,928.82,376.67,423.75,2826.38,811.83,2014.55,733.75,0.0,95.81,1.37,0.0,0.0,28297.23,404.54,27679.74,28701.77,1.036923,0,43886.74,48787.16,0.0,4900.42,140706.57,16884.79,0.0,0.0,0.0,347201.08,0.0,1
Y5-01,TOTAL,0.0,4166.67,7052.5,1410.5,352.62,956.68,377.6,424.8,2826.38,844.44,1981.94,703.91,0.0,96.13,1.37,0.0,0.0,28393.36,405.91,27858.77,28799.27,1.03376,0,57067.34,61937.92,0.0,4870.58,140131.19,16815.74,0.0,0.0,0.0,341486.06,0.0,1
Y5-02,TOTAL,0.0,4166.67,6370.0,1274.0,318.5,956.68,378.53,425.85,2826.38,877.06,1949.32,190.06,0.0,87.12,1.25,0.0,0.0,28480.48,407.16,27870.64,28887.64,1.03649,0,61248.75,65605.48,0.0,4356.72,140476.79,16857.21,0.0,0.0,0.0,336252.27,0.0,1
Y5-03,TOTAL,0.0,4166.67,7052.5,1410.5,352.62,956.68,379.46,426.9,2826.38,906.94,1919.44,699.95,0.0,96.76,1.38,0.0,0.0,28577.24,408.54,27882.54,28985.78,1.039567,0,65078.07,69944.69,0.0,4866.62,140823.24,16898.79,0.0,0.0,0.0,330478.71,0.0,1
Y5-04,TOTAL,0.0,4166.67,6825.0,1365.0,341.25,956.68,380.4,427.95,2826.38,939.9,1886.48,527.34,0.0,93.95,1.34,0.0,0.0,28671.19,409.89,27894.48,29081.08,1.042539,0,69302.31,73996.31,0.0,4694.0,141170.55,16940.47,0.0,0.0,0.0,324844.81,0.0,1
Y5-05,TOTAL,0.0,4166.67,7052.5,1410.5,352.62,956.68,381.34,429.01,2826.38,972.06,1854.32,695.97,0.0,97.4,1.39,0.0,0.0,28768.6,411.28,27906.44,29179.88,1.045632,0,73424.37,78287.0,0.0,4862.63,141518.71,16982.25,0.0,0.0,0.0,319010.12,0.0,1
Y5-06,TOTAL,0.0,4166.67,6825.0,1365.0,341.25,956.68,382.28,430.06,2826.38,1005.36,1821.02,523.34,0.0,94.58,1.35,0.0,0.0,28863.18,412.63,27918.43,29275.81,1.04862,0,77693.34,82383.35,0.0,4690.01,141867.74,17024.13,0.0,0.0,0.0,313314.74,0.0,1
Y5-07,TOTAL,0.0,4166.67,7052.5,1410.5,352.62,956.68,383.22,431.12,2826.38,1037.88,1788.5,691.96,0.0,98.06,1.4,0.0,0.0,28961.23,414.03,27930.45,29375.27,1.051729,0,81860.37,86719.01,0.0,4858.63,142217.62,17066.11,0.0,0.0,0.0,307418.24,0.0,1
Y5-08,TOTAL,0.0,4166.67,7052.5,1410.5,352.62,956.68,384.17,432.19,2826.38,1071.54,1754.85,689.96,0.0,98.39,1.41,0.0,0.0,29059.62,415.44,27942.5,29475.06,1.054847,0,86174.57,91031.19,0.0,4856.62,142568.37,17108.2,0.0,0.0,0.0,301490.08,0.0,1
Y5-09,TOTAL,0.0,4166.67,6825.0,1365.0,341.25,956.68,385.11,433.25,2826.38,1105.38,1721.01,517.32,0.0,95.54,1.37,0.0,0.0,29155.16,416.81,27954.58,29571.97,1.057858,0,90511.92,95195.91,0.0,4683.98,142919.98,17150.4,0.0,0.0,0.0,295700.72,0.0,1
Y5-10,TOTAL,0.0,4166.67,7052.5,1410.5,352.62,956.68,386.06,434.32,2826.38,1138.42,1687.96,685.92,0.0,99.05,1.42,0.0,0.0,29254.21,418.22,27966.69,29672.43,1.060992,0,94747.73,99600.32,0.0,4852.59,143272.46,17192.7,0.0,0.0,0.0,289709.7,0.0,1
Y5-11,TOTAL,0.0,4166.67,6825.0,1365.0,341.25,956.68,387.02,435.39,2826.38,1172.62,1653.76,513.28,0.0,96.18,1.37,0.0,0.0,29350.39,419.6,27978.83,29769.98,1.064018,0,99131.07,103811.01,0.0,4679.94,143625.81,17235.1,0.0,0.0,0.0,283857.14,0.0,1
Y5-12,TOTAL,0.0,4166.67,7052.5,1410.5,352.62,956.68,387.97,436.47,2826.38,1206.03,1620.35,681.87,0.0,99.71,1.43,0.0,0.0,29450.1,421.02,27991.0,29871.12,1.067169,0,103413.11,108261.65,0.0,4848.54,143980.03,17277.6,0.0,0.0,0.0,277802.57,0.0,1
Y6-01,TOTAL,0.0,4166.67,7052.5,1410.5,352.62,985.38,388.93,437.54,2826.38,1240.59,1585.79,651.14,0.0,100.05,1.43,0.0,0.0,29550.15,422.45,28175.4,29972.6,1.063786,0,117114.21,121932.02,0.0,4817.81,143356.54,17202.78,0.0,0.0,0.0,271744.17,0.0,1
Y6-02,TOTAL,0.0,4166.67,6370.0,1274.0,318.5,985.38,389.89,438.62,2826.38,1275.17,1551.21,137.23,0.0,90.67,1.3,0.0,0.0,29640.82,423.75,28187.63,30064.57,1.066587,0,121546.85,125850.75,0.0,4303.89,143710.1,17245.21,0.0,0.0,0.0,266165.1,0.0,1
Y6-03,TOTAL,0.0,4166.67,7052.5,1410.5,352.62,985.38,390.85,439.7,2826.38,1307.02,1519.36,647.06,0.0,100.7,1.44,0.0,0.0,29741.52,425.19,28199.89,30166.71,1.069746,0,125628.79,130442.52,0.0,4813.72,144064.52,17287.74,0.0,0.0,0.0,260044.36,0.0,1
Y6-04,TOTAL,0.0,4166.67,6825.0,1365.0,341.25,985.38,391.81,440.79,2826.38,1341.96,1484.42,474.38,0.0,97.78,1.4,0.0,0.0,29839.3,426.59,28212.18,30265.89,1.072795,0,130107.06,134748.11,0.0,4641.05,144419.83,17330.38,0.0,0.0,0.0,254061.34,0.0,1
Y6-05,TOTAL,0.0,4166.67,7052.5,1410.5,352.62,985.38,392.78,441.88,2826.38,1376.11,1450.27,642.96,0.0,101.37,1.45,0.0,0.0,29940.67,428.03,28224.5,30368.71,1.07597,0,134484.54,139294.17,0.0,4809.62,144776.0,17373.12,0.0,0.0,0.0,247875.61,0.0,1
Y6-06,TOTAL,0.0,4166.67,6825.0,1365.0,341.25,985.38,393.75,442.97,2826.38,1411.42,1414.96,470.27,0.0,98.44,1.41,0.0,0.0,30039.11,429.44,28236.85,30468.55,1.079035,0,139010.36,143647.3,0.0,4636.94,145133.06,17415.97,0.0,0.0,0.0,241827.24,0.0,1
Y6-07,TOTAL,0.0,4166.67,7052.5,1410.5,352.62,985.38,394.72,444.06,2826.38,1445.95,1380.43,638.83,0.0,102.05,1.46,0.0,0.0,30141.16,430.9,28249.23,30572.06,1.082226,0,143435.66,148241.16,0.0,4805.5,145491.0,17458.92,0.0,0.0,0.0,235575.79,0.0,1
Y6-08,TOTAL,0.0,4166.67,7052.5,1410.5,352.62,985.38,395.69,445.15,2826.38,1481.64,1344.75,636.77,0.0,102.4,1.46,0.0,0.0,30243.56,432.37,28261.65,30675.92,1.085426,0,148009.55,152812.98,0.0,4803.43,145849.82,17501.98,0.0,0.0,0.0,229290.72,0.0,1
Y6-09,TOTAL,0.0,4166.67,6825.0,1365.0,341.25,985.38,396.67,446.25,2826.38,1517.51,1308.87,464.07,0.0,99.43,1.42,0.0,0.0,30342.99,433.79,28274.09,30776.77,1.088515,0,152608.04,157238.77,0.0,4630.73,146209.52,17545.14,0.0,0.0,0.0,223142.48,0.0,1
Y6-10,TOTAL,0.0,4166.67,7052.5,1410.5,352.62,985.38,397.65,447.35,2826.38,1552.61,1273.77,632.61,0.0,103.08,1.47,0.0,0.0,30446.07,435.26,28286.56,30881.33,1.091731,0,157106.42,161905.7,0.0,4799.28,146570.12,17588.41,0.0,0.0,0.0,216790.59,0.0,1
Y6-11,TOTAL,0.0,4166.67,6825.0,1365.0,341.25,985.38,398.63,448.46,2826.38,1588.87,1237.51,459.9,0.0,100.1,1.43,0.0,0.0,30546.17,436.69,28299.07,30982.86,1.094837,0,161753.8,166380.37,159936.82,0.0,146931.6,17631.79,0.0,164563.39,440794.79,655996.51,0.0,2
Y6-12,TOTAL,0.0,4166.67,14105.0,2821.0,705.25,1970.77,791.43,890.36,5714.73,1970.08,3744.65,1211.47,0.0,103.77,1.48,5378.14,0.0,36028.08,438.17,56549.66,36466.25,0.644854,1,162916.3,162916.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654026.43,0.0,2
